,Gender,EthnicGroup,ParentEduc,LunchType,Numberof Siblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
6660,0,group E,some college,standard,3,private,5 - 10,94,77,82
6661,0,group C,some high school,free/reduced,0,school_bus,5 - 10,32,40,27
6662,1,group D,some high school,standard,0,school_bus,5 - 10,77,88,88
6663,1,group E,some college,standard,1,private,< 5,66,65,69
6664,0,group C,high school,free/reduced,2,school_bus,> 10,70,73,64
6665,0,group A,some high school,standard,1,private,5 - 10,73,66,63
6666,0,group E,some college,free/reduced,0,school_bus,5 - 10,62,59,58
6667,1,group C,some high school,standard,0,private,> 10,76,91,94
6668,1,group E,some college,free/reduced,3,school_bus,5 - 10,71,69,68
6669,1,group E,bachelor's degree,free/reduced,2,private,< 5,52,54,53
6670,0,group D,bachelor's degree,free/reduced,1,private,> 10,79,78,86
6671,0,group E,associate's degree,standard,3,school_bus,> 10,71,55,51
6672,1,group C,bachelor's degree,standard,1,school_bus,> 10,64,65,66
6673,0,group B,high school,standard,2,school_bus,5 - 10,75,77,74
6674,1,group B,associate's degree,free/reduced,3,private,> 10,72,90,95
6675,1,group C,high school,free/reduced,4,school_bus,5 - 10,40,54,49
6676,1,group C,some college,free/reduced,1,school_bus,5 - 10,44,54,54
6677,1,group D,some college,standard,3,private,> 10,69,76,80
6678,1,group E,some college,standard,5,school_bus,> 10,83,87,93
6679,1,group A,some high school,standard,0,school_bus,< 5,68,81,74
6680,0,group E,some college,free/reduced,2,private,5 - 10,70,69,72
6681,1,group C,high school,free/reduced,0,school_bus,> 10,69,74,76
6682,0,group D,some college,standard,2,private,< 5,64,60,55
6683,0,group D,some college,standard,3,private,> 10,73,65,66
6684,0,group C,master's degree,free/reduced,3,private,5 - 10,64,62,64
6685,0,group A,some college,free/reduced,4,private,5 - 10,52,62,61
6686,1,group B,high school,standard,1,school_bus,< 5,28,40,41
6687,1,group B,bachelor's degree,standard,4,private,5 - 10,57,71,70
6688,0,group C,some high school,free/reduced,3,private,> 10,71,61,59
6689,0,group C,bachelor's degree,standard,5,private,5 - 10,85,72,70
6690,1,group B,high school,standard,0,private,5 - 10,74,87,79
6691,1,group B,bachelor's degree,standard,3,private,5 - 10,65,78,79
6692,1,group C,associate's degree,standard,4,private,> 10,92,94,100
6693,1,group D,high school,free/reduced,2,school_bus,< 5,66,77,74
6694,1,group C,some high school,standard,0,school_bus,5 - 10,69,76,81
6695,1,group E,associate's degree,standard,1,private,5 - 10,88,90,85
6696,0,group A,associate's degree,free/reduced,1,private,< 5,56,67,59
6697,0,group C,bachelor's degree,free/reduced,0,private,> 10,74,73,68
6698,0,group D,some high school,standard,2,private,> 10,77,70,66
6699,1,group C,some high school,standard,1,school_bus,5 - 10,66,68,69
6700,1,group D,associate's degree,free/reduced,4,school_bus,< 5,32,46,47
6701,0,group D,high school,standard,0,school_bus,> 10,63,59,56
6702,0,group C,bachelor's degree,free/reduced,2,school_bus,< 5,77,68,69
6703,0,group D,high school,standard,3,private,5 - 10,57,61,57
6704,0,group D,some high school,standard,2,private,5 - 10,44,41,45
6705,1,group C,associate's degree,standard,4,private,5 - 10,66,75,85
6706,0,group D,some college,free/reduced,1,private,5 - 10,57,51,45
6707,1,group C,some college,standard,5,school_bus,< 5,66,77,71
6708,1,group A,associate's degree,standard,2,school_bus,< 5,69,80,81
6709,1,group C,bachelor's degree,standard,2,private,< 5,70,73,75
6710,0,group C,some high school,standard,7,school_bus,5 - 10,74,74,69
6711,0,group D,some high school,standard,2,school_bus,> 10,70,63,66
6712,1,group A,high school,standard,1,private,5 - 10,67,75,82
6713,1,group C,some college,standard,4,private,5 - 10,58,66,62
6714,1,group C,associate's degree,standard,2,private,< 5,60,69,72
6715,1,group B,high school,free/reduced,1,school_bus,< 5,42,48,49
6716,1,group E,high school,free/reduced,1,school_bus,< 5,70,69,79
6717,1,group B,high school,free/reduced,0,private,> 10,52,71,65
6718,1,group D,bachelor's degree,standard,3,school_bus,5 - 10,59,64,63
6719,0,group C,some college,standard,4,school_bus,5 - 10,80,76,79
6720,1,group B,some college,standard,1,school_bus,5 - 10,71,84,80
6721,0,group C,high school,standard,3,school_bus,5 - 10,58,48,49
6722,1,group E,some high school,free/reduced,1,school_bus,5 - 10,80,83,90
6723,1,group C,bachelor's degree,standard,1,school_bus,5 - 10,58,74,70
6724,0,group D,high school,standard,1,school_bus,5 - 10,65,55,56
6725,0,group B,bachelor's degree,standard,3,school_bus,5 - 10,65,57,56
6726,0,group D,bachelor's degree,free/reduced,4,school_bus,< 5,61,59,49
6727,0,group B,high school,standard,4,school_bus,5 - 10,67,59,51
6728,0,group C,some college,free/reduced,1,private,< 5,55,60,56
6729,1,group D,some high school,free/reduced,1,private,5 - 10,54,64,67
6730,0,group D,some college,standard,4,private,5 - 10,76,60,67
6731,0,group C,some college,standard,0,school_bus,< 5,92,94,86
6732,1,group D,high school,free/reduced,3,private,5 - 10,55,58,65
6733,1,group A,high school,standard,0,private,< 5,64,73,75
6734,0,group D,high school,standard,2,school_bus,5 - 10,83,79,76
6735,0,group E,some college,standard,4,private,< 5,89,88,86
6736,0,group C,some college,standard,2,school_bus,< 5,62,64,63
6737,0,group E,high school,standard,1,school_bus,> 10,70,55,56
6738,0,group C,some high school,standard,1,private,5 - 10,49,38,34
6739,0,group A,associate's degree,standard,2,school_bus,5 - 10,55,46,48
6740,1,group E,associate's degree,free/reduced,2,private,5 - 10,54,60,60
6741,0,group B,some college,standard,4,school_bus,> 10,76,68,72
6742,1,group D,associate's degree,free/reduced,3,private,5 - 10,82,91,93
6743,1,group D,some college,standard,3,school_bus,5 - 10,54,65,68
6744,0,group D,some college,standard,0,school_bus,5 - 10,57,54,52
6745,0,group C,some college,standard,5,private,5 - 10,72,78,70
6746,1,group D,some high school,free/reduced,1,school_bus,< 5,54,63,64
6747,1,group A,some college,standard,0,school_bus,5 - 10,43,57,58
6748,0,group E,master's degree,free/reduced,1,school_bus,< 5,81,78,75
6749,0,group C,associate's degree,standard,1,private,5 - 10,67,57,52
6750,1,group A,bachelor's degree,standard,1,school_bus,5 - 10,45,59,61
6751,1,group B,some college,free/reduced,1,school_bus,5 - 10,50,72,70
6752,0,group C,some college,free/reduced,2,school_bus,5 - 10,77,67,70
6753,1,group E,some college,standard,2,school_bus,5 - 10,85,86,86
6754,1,group D,some college,free/reduced,3,private,5 - 10,47,61,58
6755,1,group B,high school,standard,4,school_bus,< 5,61,65,68
6756,1,group C,some college,free/reduced,2,school_bus,> 10,73,72,74
6757,1,group B,some high school,free/reduced,7,private,< 5,13,16,17
6758,0,group C,bachelor's degree,standard,1,school_bus,5 - 10,84,88,77
6759,1,group E,high school,standard,2,private,5 - 10,87,80,80
6760,0,group C,some high school,standard,2,school_bus,5 - 10,52,54,46
6761,0,group D,high school,standard,2,private,< 5,83,75,71
6762,1,group C,bachelor's degree,standard,1,school_bus,5 - 10,70,82,81
6763,0,group A,associate's degree,standard,1,private,5 - 10,53,39,37
6764,0,group E,high school,standard,1,school_bus,5 - 10,80,72,70
6765,0,group C,some high school,free/reduced,5,private,> 10,75,58,61
6766,1,group B,bachelor's degree,standard,1,school_bus,5 - 10,82,95,82
6767,0,group D,some college,free/reduced,1,private,> 10,62,62,56
6768,0,group B,bachelor's degree,standard,1,school_bus,5 - 10,83,80,75
6769,1,group B,associate's degree,free/reduced,2,school_bus,< 5,60,74,76
6770,0,group C,high school,standard,2,private,< 5,60,52,53
6771,0,group D,some college,standard,6,school_bus,5 - 10,65,61,61
6772,1,group E,some high school,standard,3,private,< 5,86,81,82
6773,0,group B,bachelor's degree,standard,0,private,< 5,93,79,80
6774,0,group C,high school,standard,0,private,5 - 10,60,62,51
6775,1,group A,some college,standard,1,school_bus,< 5,56,76,72
6776,1,group B,associate's degree,standard,1,school_bus,5 - 10,57,61,64
6777,0,group C,associate's degree,free/reduced,4,school_bus,5 - 10,84,86,89
6778,1,group C,some college,standard,2,school_bus,5 - 10,67,82,77
6779,1,group A,associate's degree,standard,2,school_bus,> 10,72,73,83
6780,0,group A,some college,standard,1,private,< 5,75,68,73
6781,0,group E,high school,free/reduced,1,private,< 5,70,64,64
6782,0,group D,master's degree,free/reduced,2,private,> 10,48,45,53
6783,0,group D,associate's degree,standard,4,private,5 - 10,88,79,78
6784,0,group C,some high school,free/reduced,5,private,< 5,52,60,55
6785,0,group C,high school,standard,4,private,5 - 10,80,67,62
6786,1,group C,some high school,standard,4,private,< 5,53,73,69
6787,0,group C,high school,standard,5,school_bus,< 5,77,71,70
6788,1,group C,some college,standard,4,school_bus,5 - 10,87,94,90
6789,1,group C,some college,standard,1,school_bus,< 5,64,72,67
6790,0,group C,master's degree,standard,2,school_bus,> 10,83,82,86
6791,1,group C,high school,standard,2,school_bus,5 - 10,71,82,82
6792,0,group D,associate's degree,free/reduced,1,school_bus,5 - 10,61,67,63
6793,0,group C,some high school,standard,3,private,5 - 10,59,55,56
6794,0,group D,high school,free/reduced,2,school_bus,> 10,74,72,73
6795,0,group D,some college,standard,3,school_bus,5 - 10,85,82,80
6796,1,group C,high school,standard,0,school_bus,5 - 10,72,85,86
6797,1,group C,associate's degree,standard,2,school_bus,5 - 10,68,64,65
6798,0,group D,associate's degree,free/reduced,0,school_bus,5 - 10,64,62,67
6799,1,group D,bachelor's degree,standard,2,school_bus,5 - 10,75,84,83
6800,0,group C,master's degree,free/reduced,4,private,> 10,58,57,53
6801,1,group B,associate's degree,standard,2,school_bus,5 - 10,67,86,80
6802,0,group C,some high school,standard,1,school_bus,< 5,77,82,81
6803,1,group D,associate's degree,free/reduced,4,private,> 10,45,65,64
6804,1,group B,associate's degree,standard,1,private,< 5,84,90,94
6805,1,group C,some college,free/reduced,5,school_bus,> 10,43,47,46
6806,0,group B,some college,standard,1,private,> 10,70,72,73
6807,1,group D,some college,free/reduced,3,school_bus,< 5,72,82,89
6808,1,group C,master's degree,free/reduced,4,private,5 - 10,70,87,89
6809,1,group D,some college,standard,1,private,< 5,53,63,61
6810,1,group C,some college,standard,3,private,5 - 10,62,68,76
6811,1,group A,some college,free/reduced,3,school_bus,5 - 10,70,86,86
6812,0,group B,master's degree,standard,1,private,> 10,87,79,75
6813,1,group D,some college,standard,2,school_bus,< 5,80,86,82
6814,1,group C,master's degree,standard,1,school_bus,> 10,84,90,95
6815,1,group C,some college,free/reduced,1,private,< 5,60,78,74
6816,0,group C,bachelor's degree,free/reduced,3,school_bus,5 - 10,55,58,56
6817,1,group C,associate's degree,free/reduced,2,school_bus,< 5,53,74,70
6818,0,group E,some college,standard,1,school_bus,< 5,96,90,89
6819,0,group D,some college,free/reduced,0,school_bus,5 - 10,41,39,34
6820,1,group D,high school,standard,1,school_bus,< 5,74,83,87
6821,0,group E,high school,standard,1,private,< 5,53,50,51
6822,0,group C,high school,standard,3,school_bus,5 - 10,75,73,72
6823,1,group C,associate's degree,standard,4,private,5 - 10,48,54,59
6824,1,group C,bachelor's degree,standard,2,school_bus,5 - 10,50,56,55
6825,1,group B,high school,free/reduced,5,private,< 5,41,55,52
6826,0,group B,high school,standard,0,private,> 10,65,52,44
6827,0,group D,bachelor's degree,standard,2,private,5 - 10,89,82,87
6828,1,group D,bachelor's degree,free/reduced,1,private,< 5,44,56,48
6829,0,group C,some college,standard,1,school_bus,5 - 10,54,60,59
6830,1,group B,some college,free/reduced,0,school_bus,5 - 10,41,57,59
6831,1,group A,high school,standard,2,private,5 - 10,62,75,67
6832,1,group E,some college,free/reduced,3,school_bus,< 5,66,74,71
6833,0,group D,high school,standard,1,school_bus,5 - 10,57,54,51
6834,0,group B,some college,standard,5,private,5 - 10,60,51,47
6835,1,group D,some college,free/reduced,4,school_bus,5 - 10,67,81,80
6836,1,group D,some college,standard,1,private,> 10,96,100,99
6837,0,group D,some high school,free/reduced,1,school_bus,5 - 10,48,51,43
6838,0,group C,high school,standard,2,private,5 - 10,87,88,83
6839,0,group D,some college,standard,1,school_bus,< 5,94,95,95
6840,1,group E,bachelor's degree,standard,5,school_bus,5 - 10,72,72,68
6841,1,group E,some college,free/reduced,3,school_bus,5 - 10,72,75,76
6842,0,group C,some college,standard,4,private,5 - 10,73,66,60
6843,0,group C,associate's degree,standard,1,school_bus,5 - 10,90,95,96
6844,1,group E,associate's degree,standard,3,private,5 - 10,64,55,54
6845,1,group C,some college,standard,3,private,< 5,54,70,69
6846,0,group C,high school,standard,3,private,< 5,85,83,86
6847,0,group C,associate's degree,standard,2,private,< 5,64,75,68
6848,1,group C,bachelor's degree,standard,3,school_bus,5 - 10,49,56,63
6849,1,group D,some college,standard,2,school_bus,5 - 10,72,71,74
6850,1,group E,some high school,standard,1,private,5 - 10,77,70,70
6851,0,group C,associate's degree,standard,3,private,< 5,65,51,61
6852,1,group E,associate's degree,standard,3,school_bus,5 - 10,100,99,95
6853,1,group D,some high school,free/reduced,1,school_bus,> 10,43,56,56
6854,1,group C,some high school,standard,1,private,< 5,45,52,47
6855,0,group C,associate's degree,free/reduced,5,school_bus,< 5,56,59,58
6856,1,group C,some college,free/reduced,5,school_bus,5 - 10,40,49,49
6857,1,group C,some high school,standard,2,private,5 - 10,65,79,86
6858,0,group D,associate's degree,free/reduced,2,school_bus,> 10,60,50,47
6859,1,group C,high school,standard,1,private,< 5,57,59,58
6860,1,group C,master's degree,standard,0,school_bus,< 5,58,58,58
6861,1,group D,master's degree,free/reduced,1,private,5 - 10,78,91,100
6862,0,group B,high school,standard,2,school_bus,5 - 10,66,71,63
6863,0,group C,some college,standard,1,school_bus,5 - 10,81,78,80
6864,1,group C,bachelor's degree,standard,1,school_bus,< 5,89,98,98
6865,0,group C,some college,free/reduced,4,private,5 - 10,53,43,42
6866,0,group B,some high school,free/reduced,3,private,< 5,34,31,31
6867,0,group B,some high school,standard,3,school_bus,< 5,83,76,73
6868,0,group D,high school,standard,1,school_bus,< 5,68,67,61
6869,0,group D,some college,standard,0,private,> 10,71,60,73
6870,1,group C,bachelor's degree,standard,2,school_bus,5 - 10,78,81,88
6871,1,group C,some college,standard,3,school_bus,> 10,85,92,93
6872,0,group C,some high school,standard,1,private,> 10,84,86,82
6873,0,group D,associate's degree,free/reduced,1,private,5 - 10,64,58,60
6874,1,group D,bachelor's degree,standard,2,private,5 - 10,79,86,93
6875,1,group E,some high school,standard,1,school_bus,> 10,87,82,90
6876,1,group B,some high school,standard,1,school_bus,5 - 10,67,75,81
6877,0,group B,associate's degree,free/reduced,1,school_bus,5 - 10,44,39,39
6878,1,group B,associate's degree,standard,3,school_bus,> 10,74,82,87
6879,1,group C,bachelor's degree,standard,2,school_bus,5 - 10,75,83,88
6880,0,group B,associate's degree,standard,2,private,5 - 10,71,68,68
6881,0,group D,some high school,standard,3,private,5 - 10,59,53,49
6882,0,group C,associate's degree,standard,0,school_bus,5 - 10,69,66,70
6883,1,group C,master's degree,standard,4,private,5 - 10,67,81,79
6884,0,group E,some high school,standard,1,private,5 - 10,48,53,44
6885,0,group B,high school,free/reduced,1,school_bus,5 - 10,58,55,48
6886,0,group E,some high school,standard,1,school_bus,< 5,82,76,74
6887,0,group D,high school,free/reduced,3,school_bus,5 - 10,55,55,55
6888,0,group C,associate's degree,standard,3,school_bus,5 - 10,98,90,95
6889,0,group B,bachelor's degree,standard,3,private,5 - 10,45,48,43
6890,0,group B,associate's degree,free/reduced,2,school_bus,5 - 10,57,55,43
6891,1,group D,some high school,free/reduced,1,school_bus,< 5,58,86,82
6892,0,group B,high school,free/reduced,0,school_bus,< 5,70,61,61
6893,1,group D,some high school,standard,2,school_bus,< 5,52,64,56
6894,0,group D,some college,standard,3,school_bus,5 - 10,93,76,82
6895,1,group D,associate's degree,free/reduced,1,school_bus,< 5,70,78,87
6896,1,group B,some college,standard,1,school_bus,5 - 10,69,80,80
6897,0,group D,high school,standard,3,school_bus,5 - 10,72,72,61
6898,0,group D,some high school,standard,1,school_bus,5 - 10,54,45,45
6899,1,group D,bachelor's degree,free/reduced,3,school_bus,5 - 10,70,79,84
6900,0,group A,associate's degree,standard,2,school_bus,5 - 10,78,82,76
6901,1,group E,associate's degree,free/reduced,0,private,5 - 10,53,66,67
6902,0,group D,associate's degree,free/reduced,1,private,< 5,64,54,55
6903,1,group C,associate's degree,free/reduced,2,school_bus,> 10,70,80,83
6904,0,group C,bachelor's degree,standard,1,private,> 10,57,59,56
6905,0,group B,master's degree,standard,1,school_bus,5 - 10,99,100,90
6906,1,group E,associate's degree,standard,2,school_bus,5 - 10,74,90,85
6907,0,group C,master's degree,free/reduced,1,private,5 - 10,69,77,68
6908,0,group B,bachelor's degree,standard,4,school_bus,> 10,100,86,88
6909,0,group B,some high school,standard,3,private,< 5,85,77,74
6910,1,group E,associate's degree,standard,2,private,5 - 10,91,85,90
6911,1,group D,some high school,free/reduced,1,school_bus,< 5,54,60,67
6912,0,group A,high school,standard,0,school_bus,5 - 10,91,84,75
6913,1,group C,some college,standard,3,private,5 - 10,82,81,90
6914,0,group C,associate's degree,standard,1,school_bus,5 - 10,74,60,58
6915,0,group D,some high school,standard,4,school_bus,< 5,47,39,45
6916,0,group D,some college,standard,1,school_bus,> 10,71,68,67
6917,0,group B,some college,standard,0,private,> 10,82,64,69
6918,1,group C,some college,free/reduced,1,school_bus,5 - 10,40,55,46
6919,0,group C,associate's degree,standard,0,school_bus,5 - 10,85,82,79
6920,1,group B,some high school,free/reduced,1,school_bus,< 5,30,41,43
6921,0,group E,master's degree,standard,2,private,5 - 10,78,77,76
6922,0,group D,some college,standard,1,school_bus,5 - 10,70,76,71
6923,1,group C,high school,standard,1,school_bus,5 - 10,64,72,69
6924,1,group C,some high school,free/reduced,2,school_bus,< 5,53,76,72
6925,0,group D,associate's degree,standard,3,private,5 - 10,83,74,80
6926,1,group D,bachelor's degree,standard,0,private,> 10,71,66,73
6927,1,group A,some college,free/reduced,3,school_bus,> 10,55,64,64
6928,0,group D,high school,standard,2,school_bus,< 5,55,56,49
6929,1,group A,associate's degree,standard,7,school_bus,5 - 10,71,68,65
6930,0,group C,bachelor's degree,standard,1,school_bus,< 5,53,50,54
6931,0,group B,some college,free/reduced,2,private,> 10,67,67,65
6932,0,group B,high school,free/reduced,6,school_bus,5 - 10,50,45,45
6933,1,group D,some college,free/reduced,5,private,> 10,79,77,82
6934,0,group C,associate's degree,standard,3,school_bus,5 - 10,73,77,67
6935,0,group B,high school,standard,4,private,> 10,81,78,63
6936,0,group C,some high school,free/reduced,1,school_bus,5 - 10,50,51,51
6937,0,group D,high school,standard,0,private,< 5,63,70,63
6938,0,group E,high school,standard,0,private,> 10,68,65,61
6939,0,group E,some college,free/reduced,4,private,> 10,57,57,54
6940,0,group C,associate's degree,free/reduced,3,school_bus,5 - 10,71,65,59
6941,0,group D,associate's degree,standard,2,school_bus,5 - 10,96,99,98
6942,0,group C,some college,free/reduced,1,private,> 10,75,75,72
6943,0,group A,high school,standard,2,private,5 - 10,52,41,37
6944,1,group E,some college,standard,1,private,< 5,65,68,65
6945,0,group B,some college,standard,2,school_bus,5 - 10,60,49,49
6946,0,group E,associate's degree,standard,3,private,5 - 10,87,88,88
6947,1,group C,high school,free/reduced,3,private,> 10,38,49,43
6948,1,group C,high school,standard,0,private,5 - 10,48,60,52
6949,0,group C,master's degree,standard,3,private,5 - 10,87,87,90
6950,0,group B,some college,standard,2,private,5 - 10,61,48,47
6951,0,group C,bachelor's degree,standard,2,school_bus,5 - 10,86,72,73
6952,0,group C,master's degree,free/reduced,1,private,5 - 10,63,67,70
6953,0,group C,high school,free/reduced,0,school_bus,5 - 10,67,63,62
6954,0,group D,some high school,standard,1,school_bus,5 - 10,75,77,78
6955,1,group D,some college,standard,2,private,< 5,89,94,97
6956,1,group B,associate's degree,standard,0,school_bus,5 - 10,80,85,86
6957,1,group C,some high school,standard,1,school_bus,5 - 10,78,85,77
6958,1,group E,high school,standard,2,private,< 5,75,78,78
6959,0,group D,bachelor's degree,standard,1,school_bus,< 5,80,86,85
6960,1,group A,bachelor's degree,standard,2,school_bus,< 5,71,95,95
6961,1,group E,some college,standard,1,private,< 5,68,69,63
6962,1,group D,high school,free/reduced,0,private,> 10,29,40,33
6963,0,group C,associate's degree,free/reduced,7,school_bus,5 - 10,64,69,66
6964,0,group C,master's degree,standard,1,private,5 - 10,81,83,80
6965,1,group D,some college,standard,2,school_bus,5 - 10,58,62,61
6966,0,group D,associate's degree,free/reduced,3,school_bus,5 - 10,67,59,59
6967,1,group B,some college,standard,2,school_bus,< 5,66,74,76
6968,1,group C,high school,standard,3,private,5 - 10,85,91,87
6969,1,group B,master's degree,free/reduced,4,school_bus,> 10,59,68,72
6970,0,group C,some college,standard,1,school_bus,5 - 10,67,68,66
6971,0,group E,some high school,standard,3,private,< 5,92,80,79
6972,0,group D,some high school,standard,0,school_bus,5 - 10,49,47,39
6973,1,group C,some high school,standard,3,school_bus,5 - 10,44,52,54
6974,1,group A,master's degree,standard,2,private,< 5,47,65,61
6975,0,group B,master's degree,standard,2,private,> 10,96,85,79
6976,0,group E,some college,standard,2,school_bus,5 - 10,77,65,63
6977,0,group E,some college,free/reduced,3,school_bus,5 - 10,63,53,48
6978,0,group D,high school,free/reduced,3,school_bus,> 10,51,55,58
6979,1,group D,associate's degree,standard,3,school_bus,5 - 10,69,76,66
6980,1,group D,high school,standard,3,school_bus,5 - 10,50,63,61
6981,0,group B,high school,free/reduced,1,school_bus,> 10,58,61,58
6982,1,group C,associate's degree,standard,1,school_bus,5 - 10,89,95,100
6983,0,group C,high school,standard,2,school_bus,5 - 10,72,73,68
6984,1,group C,high school,free/reduced,1,private,< 5,39,53,59
6985,1,group E,associate's degree,standard,0,private,5 - 10,62,67,65
6986,0,group E,high school,free/reduced,3,private,< 5,72,73,58
6987,1,group A,some college,free/reduced,1,private,5 - 10,41,48,48
6988,1,group D,some high school,free/reduced,0,private,5 - 10,48,57,58
6989,0,group D,some college,free/reduced,1,school_bus,5 - 10,41,40,45
6990,0,group E,some high school,free/reduced,0,school_bus,5 - 10,67,60,63
6991,1,group D,some high school,free/reduced,1,school_bus,> 10,45,57,52
6992,1,group B,associate's degree,free/reduced,0,private,< 5,55,70,60
6993,0,group C,high school,standard,2,private,< 5,71,62,59
6994,1,group C,associate's degree,standard,4,private,> 10,74,85,95
6995,1,group B,some college,free/reduced,2,school_bus,> 10,62,66,63
6996,1,group B,high school,standard,2,school_bus,> 10,47,54,57
6997,1,group E,some college,free/reduced,3,school_bus,5 - 10,81,83,82
6998,1,group D,bachelor's degree,standard,2,school_bus,> 10,85,99,100
6999,0,group D,bachelor's degree,standard,1,school_bus,5 - 10,56,51,52
7000,0,group E,some high school,free/reduced,3,school_bus,5 - 10,39,28,26
7001,0,group A,some high school,free/reduced,2,private,< 5,41,34,24
7002,1,group E,bachelor's degree,standard,0,private,5 - 10,62,60,63
7003,1,group D,high school,standard,4,private,5 - 10,64,69,68
7004,0,group B,bachelor's degree,standard,3,school_bus,> 10,68,61,58
7005,0,group B,associate's degree,free/reduced,1,school_bus,5 - 10,50,43,37
7006,0,group C,some high school,free/reduced,1,school_bus,< 5,58,62,55
7007,1,group D,some college,standard,3,private,< 5,55,65,66
7008,0,group C,master's degree,standard,1,school_bus,5 - 10,91,91,97
7009,1,group C,bachelor's degree,standard,2,school_bus,< 5,50,63,65
7010,0,group A,high school,free/reduced,2,school_bus,< 5,72,69,68
7011,0,group C,some high school,free/reduced,1,school_bus,> 10,38,41,33
7012,1,group C,high school,standard,1,private,5 - 10,60,75,71
7013,1,group D,some high school,standard,2,school_bus,5 - 10,47,55,63
7014,0,group E,high school,standard,1,private,5 - 10,72,69,58
7015,0,group A,some college,standard,5,school_bus,5 - 10,65,61,54
7016,1,group D,high school,standard,1,school_bus,> 10,65,74,69
7017,1,group A,some college,standard,4,school_bus,> 10,71,89,84
7018,0,group C,some college,standard,1,private,> 10,45,36,41
7019,0,group C,master's degree,free/reduced,0,private,> 10,59,73,65
7020,1,group B,some college,standard,5,school_bus,< 5,85,98,100
7021,1,group B,associate's degree,standard,1,school_bus,5 - 10,45,54,55
7022,1,group B,some high school,standard,6,private,> 10,52,63,58
7023,0,group C,some high school,standard,2,private,> 10,68,61,56
7024,0,group C,some college,standard,3,private,5 - 10,78,74,68
7025,1,group C,some college,standard,1,school_bus,5 - 10,69,72,72
7026,0,group A,some high school,free/reduced,1,school_bus,5 - 10,35,45,39
7027,1,group B,high school,standard,5,school_bus,5 - 10,60,62,69
7028,0,group C,bachelor's degree,standard,3,school_bus,5 - 10,80,65,70
7029,0,group C,some college,standard,1,private,5 - 10,65,69,59
7030,1,group E,some high school,standard,1,school_bus,5 - 10,80,80,84
7031,0,group C,some college,standard,3,school_bus,< 5,75,66,66
7032,0,group C,some high school,standard,1,school_bus,5 - 10,59,58,52
7033,0,group C,some high school,standard,3,school_bus,5 - 10,65,69,65
7034,1,group C,associate's degree,free/reduced,3,school_bus,> 10,52,66,66
7035,0,group C,bachelor's degree,standard,1,private,< 5,65,62,57
7036,1,group D,master's degree,standard,2,school_bus,> 10,52,64,73
7037,1,group A,some college,standard,4,school_bus,5 - 10,51,70,67
7038,1,group D,some college,standard,3,school_bus,< 5,59,54,49
7039,0,group C,some high school,standard,3,school_bus,5 - 10,60,59,54
7040,0,group D,bachelor's degree,standard,3,school_bus,5 - 10,94,88,96
7041,1,group B,some college,free/reduced,1,school_bus,5 - 10,50,59,62
7042,1,group B,some college,standard,1,private,> 10,79,95,87
7043,1,group D,some high school,standard,1,school_bus,< 5,46,63,62
7044,1,group B,bachelor's degree,standard,3,school_bus,5 - 10,84,83,85
7045,1,group C,associate's degree,standard,6,school_bus,5 - 10,74,82,86
7046,0,group A,associate's degree,standard,0,private,5 - 10,85,79,70
7047,0,group B,some high school,standard,1,school_bus,5 - 10,58,61,61
7048,1,group E,some college,standard,2,school_bus,5 - 10,94,98,96
7049,1,group C,some college,standard,4,private,5 - 10,63,66,67
7050,0,group D,associate's degree,standard,0,private,< 5,62,74,73
7051,1,group E,some high school,free/reduced,5,school_bus,5 - 10,67,81,78
7052,0,group D,bachelor's degree,standard,3,school_bus,5 - 10,87,77,79
7053,1,group D,associate's degree,free/reduced,4,school_bus,< 5,52,57,63
7054,1,group C,associate's degree,standard,0,private,> 10,45,57,49
7055,1,group B,associate's degree,standard,3,school_bus,5 - 10,43,49,54
7056,1,group C,some college,standard,2,school_bus,5 - 10,66,69,76
7057,1,group D,some college,standard,2,private,< 5,78,87,86
7058,0,group B,some college,standard,3,private,5 - 10,66,70,67
7059,1,group C,associate's degree,standard,2,private,< 5,78,93,93
7060,0,group C,bachelor's degree,free/reduced,3,school_bus,< 5,56,54,60
7061,0,group B,some high school,free/reduced,0,private,> 10,61,63,56
7062,0,group B,high school,standard,1,school_bus,< 5,78,73,72
7063,1,group A,high school,standard,0,school_bus,< 5,28,34,31
7064,1,group C,high school,free/reduced,0,school_bus,5 - 10,62,85,84
7065,0,group C,some high school,free/reduced,2,private,5 - 10,64,57,57
7066,1,group D,bachelor's degree,free/reduced,1,school_bus,> 10,41,51,57
7067,1,group B,some high school,standard,1,private,< 5,67,81,85
7068,0,group E,associate's degree,standard,2,school_bus,> 10,86,72,72
7069,0,group B,some college,standard,1,private,5 - 10,80,75,75
7070,0,group C,high school,free/reduced,5,private,5 - 10,61,55,55
7071,1,group C,some high school,free/reduced,4,school_bus,< 5,35,51,44
7072,0,group D,some high school,standard,3,private,5 - 10,72,66,71
7073,1,group C,associate's degree,standard,2,school_bus,< 5,77,82,86
7074,1,group E,master's degree,standard,4,school_bus,< 5,77,80,79
7075,0,group B,bachelor's degree,standard,6,private,> 10,91,95,81
7076,1,group A,some college,standard,4,school_bus,< 5,61,66,68
7077,0,group B,some college,free/reduced,3,school_bus,< 5,58,59,56
